"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Ankara,  Turkey","Ankara"," Turkey","Ankara, Çankaya, Ankara, Central Anatolia Region, 06420, Turkey","39.9207893","32.8540412","359.246","3282.647","1","0"
"Budapest,  Hungary","Budapest"," Hungary","Budapest, V. kerület, Central Hungary, Hungary","47.4983815","19.0404707","363.562","2179.344","2","0"
"Stirling,  United Kingdom","Stirling"," United Kingdom","Stirling, Stirlingshire, Scotland, FK8 2DD, United Kingdom","56.1181242","-3.9360012","363.929","3339.359","1","0"
"Glasgow,  United Kingdom","Glasgow"," United Kingdom","Glasgow, Glasgow City, Scotland, G2 9SQ, United Kingdom","55.8609825","-4.2488787","366.815","3374.324","1","0"
"Gujan-Mestras,  France","Gujan-Mestras"," France","Gujan-Mestras, Arcachon, New Aquitaine, Metropolitan France, 33470, France","44.6338602","-1.0845304","389.682","3651.286","1","0"
"Dublin,  Ireland","Dublin"," Ireland","Dublin, Dublin 1, Leinster, Ireland","53.3497645","-6.2602732","389.825","3653.022","1","0"
"Orsay,  United Kingdom","Orsay"," United Kingdom","Orsay, Port Wemyss, Scotland, United Kingdom","55.673774550000005","-6.512776899632354","390.071","3656.003","1","0"
"Lleida,  Spain","Lleida"," Spain","Lleida, Segrià, Lleida, Catalonia, Spain","41.6147605","0.6267842","406.927","3870.557","1","0"
"Santander,  Spain","Santander"," Spain","Santander, Cantabria, Spain","43.4620412","-3.8099719","426.538","4156.838","1","0"
"Hamburg,  Germany","Hamburg"," Germany","Hamburg, Germany","53.550341","10.000654","428.319","3007.892","2","0"
"Valencia,  Spain","Valencia"," Spain","Valencia, Comarca de València, Valencia, Valencian Community, Spain","39.4697065","-0.3763353","438.571","4332.492","1","0"
"Santiago,  Spain","Santiago"," Spain","Santiago, A Coruña, Galicia, Spain","42.8411382","-8.4967896","500.816","4852.307","1","0"
"Santiago de Compostela,  Spain","Santiago de Compostela"," Spain","Santiago de Compostela, Santiago, A Coruña, Galicia, 15705, Spain","42.8804219","-8.5458608","500.887","4853.704","1","0"
"Saudi Arabia Street,  Egypt","Saudi Arabia Street"," Egypt","Saudi Arabia Street, Block 3, Cairo, Cairo Governorate, NONE, Egypt","29.985167","31.2767559","519.694","5226.094","1","0"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","520.884","4171.825","2","0"
"Berlin,  Germany","Berlin"," Germany","Berlin, 10117, Germany","52.5170365","13.3888599","532.694","3107.176","3","0"
"São Paulo,  Portugal","São Paulo"," Portugal","São Paulo, Misericórdia, Lisbon, Portugal","38.70760825","-9.147860433785912","534.582","5520.876","1","0"
"Caparica,  Portugal","Caparica"," Portugal","Caparica, Caparica e Trafaria, Almada, Setúbal, Portugal","38.653741049999994","-9.208969409268294","535.386","5536.803","1","0"
"Lyon,  France","Lyon"," France","Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France","45.7578137","4.8320114","631.448","5510.99","2","0"
"Istanbul,  Turkey","Istanbul"," Turkey","Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey","41.0096334","28.9651646","634.188","5544.173","2","0"
"Gif-sur-Yvette,  France","Gif-sur-Yvette"," France","Gif-sur-Yvette, Palaiseau, Essonne, Ile-de-France, Metropolitan France, 91190, France","48.7018823","2.134529","634.724","5550.673","2","0"
"Karlsruhe,  Germany","Karlsruhe"," Germany","Karlsruhe, Baden-Württemberg, Germany","49.0068705","8.4034195","738.829","5742.996","3","0"
"Bordeaux,  France","Bordeaux"," France","Bordeaux, Gironde, New Aquitaine, Metropolitan France, France","44.841225","-0.5800364","764.224","7119.192","2","0"
"Talence,  France","Talence"," France","Talence, Bordeaux, Gironde, New Aquitaine, Metropolitan France, 33400, France","44.8088438","-0.5879629","765.078","7129.544","2","0"
"Aachen,  Germany","Aachen"," Germany","Aachen, Städteregion Aachen, North Rhine-Westphalia, Germany","50.776351","6.083862","781.622","6261.31","3","0"
"Grenoble,  France","Grenoble"," France","Grenoble, Isère, Auvergne-Rhône-Alpes, Metropolitan France, France","45.1875602","5.7357819","939.754","8176.637","3","0"
"Naples,  Italy","Naples"," Italy","Naples, Napoli, Campania, 80100, Italy","40.8359336","14.2487826","941.901","8202.644","3","0"
"Sangareddy,  India","Sangareddy"," India","Sangareddy, Telangana, India","17.86859205","77.8228199507381","973.579","12416.787","1","0"
"Boston,  United States","Boston"," United States","Boston, Suffolk County, Massachusetts, United States","42.3602534","-71.0582912","1000.828","13101.937","1","0"
"Cambridge,  United States","Cambridge"," United States","Cambridge, Middlesex County, Massachusetts, United States","42.3750997","-71.1056157","1000.957","13105.184","1","0"
"Bengaluru,  India","Bengaluru"," India","Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India","12.9791198","77.5912997","1006.788","13251.794","1","0"
"Tel Aviv-Yafo,  Israel","Tel Aviv-Yafo"," Israel","Tel Aviv-Yafo, Tel Aviv Subdistrict, Tel Aviv District, Israel","32.0852997","34.7818064","1016.901","10006.93","2","0"
"Porto,  Portugal","Porto"," Portugal","Porto, North, Portugal","41.1494512","-8.6107884","1026.218","10191.399","2","0"
"Jülich,  Germany","Jülich"," Germany","Jülich, Kreis Düren, North Rhine-Westphalia, 52428, Germany","50.9220931","6.3611015","1027.061","8165.503","4","0"
"Toronto,  Canada","Toronto"," Canada","Toronto, Golden Horseshoe, Ontario, Canada","43.6534817","-79.3839347","1042.532","13841.8","1","0"
"Washington,  United States","Washington"," United States","Washington, District of Columbia, United States","38.8949924","-77.0365581","1075.419","14356.302","1","0"
"Rennes,  France","Rennes"," France","Rennes, Ille-et-Vilaine, Brittany, Metropolitan France, France","48.1113387","-1.6800198","1092.759","10029.865","3","0"
"Bloomington,  United States","Bloomington"," United States","Bloomington, Monroe County, Indiana, United States","39.1670396","-86.5342881","1138.171","15375.175","1","0"
"Blue Ridge Road,  United States","Blue Ridge Road"," United States","Blue Ridge Road, Germany, Owen, Clark County, Indiana, United States","38.461246","-85.533266","1138.808","15388.832","1","0"
"Changsha,  China","Changsha"," China","Changsha, Changsha County, Changsha, Hunan, China","28.2491934","113.0748296","1139.107","15395.246","1","0"
"Seoul,  South Korea","Seoul"," South Korea","Seoul, Nowon-gu, South Korea","37.5666791","126.9782914","1143.106","15481.076","1","0"
"Murfreesboro,  United States","Murfreesboro"," United States","Murfreesboro, Rutherford County, Tennessee, 37132, United States","35.8460396","-86.3921096","1164.442","15938.97","1","0"
"Darmstadt,  Germany","Darmstadt"," Germany","Darmstadt, Hesse, Germany","49.872775","8.651177","1187.506","9012.983","5","0"
"Nomi,  Japan","Nomi"," Japan","Nomi, Ishikawa Prefecture, Japan","36.4392262","136.5424414","1199.973","16701.512","1","0"
"City and County of Denver,  United States","City and County of Denver"," United States","City and County of Denver, Colorado, United States","39.7392364","-104.9848623","1217.442","17076.422","1","0"
"Tokyo,  Japan","Tokyo"," Japan","Tokyo, Japan","35.6828387","139.7594549","1222.089","17165.343","1","0"
"Livermore,  United States","Livermore"," United States","Livermore, Alameda County, California, 94550, United States","37.6820583","-121.7680531","1333.076","18773.949","1","0"
"Singapore, Singapore","Singapore","Singapore","Singapore","1.357107","103.8194992","1334.777","18798.605","1","0"
"Cumi Bali Indonesia Restaurant,  Singapore","Cumi Bali Indonesia Restaurant"," Singapore","Cumi Bali Indonesia Restaurant, 66, Tanjong Pagar Road, Chinatown, Outram, Singapore, Central, 088487, Singapore","1.2788617","103.8438036","1335.956","18815.687","1","0"
"Marina del Rey,  United States","Marina del Rey"," United States","Marina del Rey, Los Angeles County, California, 90292, United States","33.9776848","-118.4486479","1375.858","19303.247","1","0"
"Cartago,  Costa Rica","Cartago"," Costa Rica","Cartago, Oriental, Cantón Cartago, Cartago Province, 30101, Costa Rica","9.8642435","-83.9204377","1466.255","20270.1","1","0"
"Campinas,  Brazil","Campinas"," Brazil","Campinas, Região Imediata de Campinas, Região Metropolitana de Campinas, Região Geográfica Intermediária de Campinas, São Paulo, Southeast Region, Brazil","-22.90556","-47.06083","1547.207","21252.35","1","0"
"São Paulo,  Brazil","São Paulo"," Brazil","São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.5506507","-46.6333824","1551.646","21320.411","1","0"
"Santo André,  Brazil","Santo André"," Brazil","Santo André, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Southeast Region, Brazil","-23.6573395","-46.5322504","1552.153","21328.188","1","0"
"Barcelona,  Spain","Barcelona"," Spain","Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain","41.3828939","2.1774322","1583.629","14906.759","4","0"
"Lisbon,  Portugal","Lisbon"," Portugal","Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","38.7077507","-9.1365919","1603.525","16558.266","3","0"
"Heraklion,  Greece","Heraklion"," Greece","Heraklion, Municipality of Heraklion, Heraklion Regional Unit, Region of Crete, 71202, Greece","35.3400127","25.1343475","1611.943","15252.076","4","0"
"Porto Alegre,  Brazil","Porto Alegre"," Brazil","Porto Alegre, Região Geográfica Imediata de Porto Alegre, Metropolitan Region of Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, South Region, Brazil","-30.0324999","-51.2303767","1662.68","23022.979","1","0"
"Santa Maria,  Brazil","Santa Maria"," Brazil","Santa Maria, Região Geográfica Imediata de Santa Maria, Região Geográfica Intermediária de Santa Maria, Rio Grande do Sul, South Region, Brazil","-29.6860512","-53.8069214","1678.302","23262.515","1","0"
"La Plata,  Argentina","La Plata"," Argentina","La Plata, Partido de La Plata, Buenos Aires, Argentina","-34.9206797","-57.9537638","1769.296","24657.796","1","0"
"Turin,  Italy","Turin"," Italy","Turin, Torino, Piemont, Italy","45.0677551","7.6824892","1776.345","15103.744","6","0"
"Beijing,  United States","Beijing"," United States","Beijing, 860, 10th Avenue, Manhattan Community Board 4, Manhattan, New York, 10019, United States","40.7686619","-73.9886693","2066.496","27393.109","2","0"
"Waterloo,  Canada","Waterloo"," Canada","Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, Canada","43.4652699","-80.5222961","2104.886","27993.706","2","0"
"Melbourne,  Australia","Melbourne"," Australia","Melbourne, City of Melbourne, Victoria, Australia","-37.8142176","144.9631608","2177.445","30916.253","1","0"
"Oak Ridge,  United States","Oak Ridge"," United States","Oak Ridge, Anderson County, Tennessee, 37830, United States","36.0103562","-84.2696449","2304.085","31345.728","2","0"
"Cookeville,  United States","Cookeville"," United States","Cookeville, Putnam County, Tennessee, United States","36.1623886","-85.4997057","2314.479","31568.793","2","0"
"Atlanta,  United States","Atlanta"," United States","Atlanta, Fulton County, Georgia, United States","33.7489924","-84.3902644","2342.012","32159.694","2","0"
"Thuwal,  Saudi Arabia","Thuwal"," Saudi Arabia","Thuwal, Governorate of Jidda, Makkah Region, 23955-6900, Saudi Arabia","22.2833454","39.1128145","2738.445","29574.594","4","0"
"Los Angeles,  United States","Los Angeles"," United States","Los Angeles, California, United States","34.0536909","-118.242766","2745.983","38545.173","2","0"
"San José,  Costa Rica","San José"," Costa Rica","San José, Cantón San José, San Jose Province, 10104, Costa Rica","9.9325427","-84.0795782","2934.077","40556.969","2","0"
"Suwon-si,  South Korea","Suwon-si"," South Korea","Suwon-si, Gyeonggi, South Korea","37.2633325","127.0287472","4583.256","62156.766","4","0"
"Reykjavik,  Iceland","Reykjavik"," Iceland","Reykjavik, Capital Region, Iceland","64.145981","-21.9422367","12856.531","133027.054","24","0"
